Census Tract,2013-2017
36005022701,31966.22556
36005022702,32384.04476
36005022703,50547.96992
36005022800,53447.2275
36005022901,29043.52935
36005022902,32396.27361
36005023000,42129.42269
36005023100,19107.5851
36005023200,58808.56111
36005023301,25090.55214
36005023302,27149.07598
36005023501,23755.56886
36005023502,23977.72639
36005023600,39571.55397
36005023702,32100.74296
36005023703,33103.50903
36005023704,21802.00936
36005023800,51590.47976
36005023900,21453.48701
36005024000,35377.05689
36005024100,31002.1842
36005024300,20826.75822
36005024400,53273.98539
36005024501,19403.11575
36005024502,28343.42743
36005024600,64711.02153
36005024700,44266.41501
36005024800,58384.62748
36005024900,0
36005025000,77562.52849
36005025100,30122.72575
36005025200,64607.07626
36005025300,30642.45207
36005025400,54122.8717
36005025500,32727.47175
36005025600,43947.44572
36005025700,35218.08178
36005026100,70286.36009
36005026300,28952.83201
36005026400,62777.84345
36005026500,35584.94741
36005026601,54881.06068
36005026602,51259.28162
36005026701,43072.06356
36005026702,35988.49961
36005026900,39202.65019
36005027300,38743.04908
36005027401,95028.38988
36005027402,75475.47067
36005027600,0
36005027700,40308.34245
36005027900,59587.13151
36005028100,64158.68493
36005028300,25216.91697
36005028400,0
36005028500,61223.75986
36005028600,89678.26605
36005028700,55570.97189
36005028800,104557.7247
36005028900,52394.52694
36005029301,99823.1199
36005029302,102922.1154
36005029500,95628.62282
36005029600,57133.20804
36005029700,92836.36772
36005030000,53548.11554
36005030100,87130.58804
36005030200,60232.20358
36005030701,88850.78023
36005030900,95537.92548
36005031000,92626.43905
36005031200,78359.44218
36005031400,88415.63683
36005031600,67895.61904
36005031800,76500.6563
36005031900,0
36005032300,87390.4512
36005032400,20140.9233
36005032600,59919.34872
36005032800,25986.31573
36005033000,38067.40487
36005033201,51706.65388
36005033202,48581.16249
36005033400,58596.59429
36005033500,90841.0263
36005033600,34460.91187
36005033700,81294.36725
36005033800,43160.72275
36005034000,38972.3401
36005034200,50169.8945
36005034300,76987.77233
36005034400,62307.03255
36005034500,60769.2541
36005034800,38461.78542
36005035000,59163.19788
36005035100,78371.67103
36005035600,70206.87253
36005035800,71272.82102
36005035900,23520.16341
36005036000,63110.06066
36005036100,24521.91041
36005000100,0
36005000200,63970.15676
36005000400,84274.13145
36005001600,33749.60017
36005001900,40882.07954
36005002000,18720.33804
36005002300,17758.33482
36005002400,0
36005002500,23205.27041
36005002701,17714.51476
36005002702,13468.04505
36005002800,53291.3096
36005003100,43160.72275
36005003300,20802.30051
36005003500,32241.37479
36005003700,0
36005003800,37366.28388
36005003900,30935.94457
36005004001,50653.95332
36005004100,20521.03686
36005004200,31295.67671
36005004300,23377.49345
36005004400,19440.82138
36005004600,40399.03978
36005004800,33498.90865
36005005001,25153.73456
36005005002,27842.0444
36005005100,18779.44417
36005005200,17786.86881
36005005300,13776.82362
36005005400,32296.40463
36005005600,21774.49444
36005005902,30362.20749
36005006000,39051.82765
36005006100,43004.80486
36005006200,24612.60775
36005006300,31106.12947
36005006400,32388.12104
36005006500,26012.81158
36005006700,21371.96131
36005006800,49659.33983
36005006900,28483.04018
36005007000,36702.86852
36005007100,39336.14852
36005007200,37981.80289
36005007300,20315.18447
36005007400,37264.37676
36005007500,27380.40514
36005007600,33739.40946
36005007700,35174.26172
36005007800,40894.30839
36005007900,26942.20452
36005008300,27653.51622
36005008400,79370.36081
36005008500,31487.2621
36005008600,23136.99264
36005008700,27615.81059
36005008900,25294.36638
36005009000,30826.90396
36005009200,45163.19767
36005009300,33186.05379
36005009600,50066.96831
36005009800,64473.57793
36005011000,0
36005011502,22791.5275
36005011700,23566.02162
36005011800,83224.48811
36005011900,25742.75771
36005012101,29325.81207
36005012102,20951.08491
36005012300,24039.88973
36005012500,31933.61528
36005012701,21256.80627
36005012901,23698.50088
36005013000,78235.11549
36005013100,37196.09899
36005013200,108766.4888
36005013300,22341.09803
36005013500,24140.77778
36005013800,78060.85431
36005014100,28993.59486
36005014300,15347.21235
36005014400,21918.18348
36005014500,29279.95387
36005014701,21844.81035
36005014702,19795.45816
36005014900,25348.37716
36005015100,34164.36215
36005015200,75026.06026
36005015300,17481.14745
36005015500,18253.60343
36005015700,35400.49552
36005015800,49209.92942
36005015900,18246.46993
36005016000,75249.23686
36005016100,14946.71737
36005016200,72679.13928
36005016300,0
36005016400,80251.8574
36005016500,25887.46582
36005016600,77783.66694
36005016700,30112.53504
36005016900,28599.2143
36005017100,0
36005017300,19776.09581
36005017500,28111.07919
36005017701,28625.71015
36005017702,29886.30123
36005017901,31170.33095
36005017902,19765.90509
36005018101,25063.03722
36005018102,36271.8014
36005018301,31581.01665
36005018302,33859.65986
36005018400,66340.51638
36005018500,33303.24698
36005018900,26872.90768
36005019300,23195.0797
36005019400,56685.83579
36005019500,28905.95473
36005019700,25784.53963
36005019900,34167.41937
36005020000,43909.74009
36005020100,34585.23856
36005020200,30437.61875
36005020400,46040.61798
36005020501,20978.59983
36005020502,15103.65433
36005020601,51923.71604
36005020900,28980.34693
36005021001,52438.347
36005021002,56141.65176
36005021100,28064.20192
36005021200,58779.00804
36005021301,20987.77147
36005021302,32318.8242
36005021501,27618.8678
36005021502,24718.59115
36005021601,30735.18755
36005021602,47338.91469
36005021700,28353.61814
36005021800,37713.78716
36005021900,23815.69406
36005022000,28502.40254
36005022101,27241.81146
36005022102,22351.28874
36005022200,41589.31495
36005022300,26495.85133
36005022401,43972.9225
36005022403,39616.3931
36005022404,40407.19235
36005022500,31877.56637
36047002200,38010.33688
36047002300,19882.07921
36047002901,23341.82595
36047003000,71462.36826
36047003100,87209.05652
36047003300,120826.1774
36047003400,78688.60217
36047003500,80591.20811
36047003600,68384.77322
36047003700,138773.0404
36047003800,87640.12364
36047003900,110277.7714
36047004100,124141.2161
36047004300,122663.5628
36047004400,110187.0741
36047004500,148500.0751
36047004600,105728.6375
36047004700,109242.395
36047004900,128232.787
36047005000,106890.3787
36047005100,101695.1537
36047005201,31898.96686
36047005202,75495.85209
36047005300,95537.92548
36047005400,68293.05681
36047005601,77870.288
36047005602,68023.00294
36047005800,47881.06057
36047005900,72183.87067
36047006000,88455.3806
36047006200,64965.78933
36047006300,113435.8731
36047006400,73149.95018
36047006500,159700.6867
36047006600,64109.76951
36047006700,161210.9502
36047006800,46792.69253
36047006900,135026.9347
36047007000,51340.80731
36047007100,35381.13317
36047007200,36941.33119
36047007400,35514.6315
36047007500,157319.1173
36047007600,38852.0897
36047007700,138530.5015
36047007800,48042.07382
36047008000,60565.43986
36047008200,41629.05873
36047008400,50771.14651
36047008500,13458.87341
36047008600,0
36047008800,65471.24864
36047009000,39661.23223
36047009200,43926.04523
36047009400,42906.97402
36047009600,41354.92858
36047009800,39433.97935
36047010000,41718.737
36047010100,65844.22871
36047010200,54571.26303
36047010400,43511.28325
36047010600,41829.81576
36047010800,38767.50679
36047011000,56685.83579
36047011200,31246.76129
36047011400,44803.46553
36047011600,40762.8482
36047011700,93048.33453
36047011800,32199.59287
36047011900,93140.05093
36047012000,33331.78098
36047012100,103727.1817
36047012200,41844.08275
36047012600,48278.49834
36047012700,54260.44632
36047012801,37836.0757
36047012901,106320.7179
36047012902,112805.068
36047013000,62581.16271
36047013100,132638.2318
36047013200,54077.0135
36047013300,159451.0143
36047013400,76024.75004
36047013500,137101.7637
36047013600,70029.55414
36047013700,111161.3061
36047013800,57121.99826
36047013900,122879.6059
36047014000,72335.71228
36047014100,104796.1874
36047014200,59421.0229
36047014300,104424.2264
36047014500,74503.27674
36047014700,89351.14419
36047014800,57832.29089
36047014900,126393.3634
36047015000,77194.64379
36047015100,124791.3835
36047015200,85984.13293
36047015300,143943.8077
36047015400,0
36005036300,20190.85779
36005036400,65390.74202
36005036501,26650.75016
36005036502,28630.80551
36005036700,30641.433
36005036800,51317.36868
36005036901,19035.23104
36005036902,24839.86062
36005037000,46565.43965
36005037100,27175.57183
36005037200,48503.71308
36005037300,31517.83423
36005037400,28385.20935
36005037504,20968.40912
36005037600,54270.63703
36005037800,40516.23297
36005037900,28151.84204
36005038000,37482.458
36005038100,37703.59645
36005038200,51431.50465
36005038301,28848.88675
36005038302,22896.49184
36005038500,19528.4615
36005038600,63770.4188
36005038700,23822.82756
36005038800,58596.59429
36005038900,32673.46098
36005039000,35986.46147
36005039100,33649.73119
36005039200,41050.22628
36005039300,22063.91066
36005039400,32343.28191
36005039500,24315.03895
36005039600,40580.43446
36005039700,27963.31387
36005039800,77410.68688
36005039901,25845.6839
36005039902,33774.05788
36005040100,31803.17417
36005040302,28688.89257
36005040303,38927.50096
36005040304,23183.86992
36005040400,50246.32484
36005040501,36140.34122
36005040502,29298.29715
36005040600,49187.50986
36005040701,36467.46308
36005040702,34056.3406
36005040800,32877.27522
36005040900,47006.69748
36005041100,37380.55088
36005041300,47516.23308
36005041400,52414.90836
36005041500,51401.95159
36005041800,40974.81502
36005041900,34402.82481
36005042000,32016.16005
36005042100,32578.68736
36005042200,55741.15678
36005042300,35960.98469
36005042400,72767.79847
36005042500,27760.5187
36005042600,86468.19175
36005042800,71131.17012
36005042901,43437.91012
36005042902,27128.69455
36005043000,56249.67331
36005043100,30131.89739
36005043400,46495.12373
36005043500,41824.7204
36005043600,68841.31712
36005044200,53474.74242
36005044400,67452.32307
36005044800,91850.92586
36005044901,68652.78895
36005044902,69296.84195
36005045101,65036.10524
36005045102,67456.39935
36005045600,80768.5265
36005045800,24886.7379
36005046000,35471.83051
36005046201,47377.6394
36005046202,38154.02592
36005048400,76005.38769
36005050400,51378.51295
36005051600,89740.42939
36047000100,89920.805
36047000200,35597.17627
36047000301,132543.4582
36047000501,131569.2261
36047000502,108701.2682
36047000700,160538.3632
36047000900,164217.2103
